NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
55,서울특별시 송파구 삼전동,115-2,0115,0002,(115-2),전세,63.8900,202608,31,"15,200",0,5,2004,백제고분로31길 23-9,202608~202708,갱신,-,"14,500",0,연립다세대
56,서울특별시 송파구 삼전동,10-4,0010,0004,유토피아빌,월세,53.5600,202608,31,500,35,2,2012,백제고분로21길 6-7,202608~202808,신규,-,,,연립다세대
57,서울특별시 마포구 서교동,475-30,0475,0030,휴먼스빌,전세,18.3600,202608,31,"13,230",0,2,2012,월드컵로14길 10-5,202611~202811,신규,-,,,연립다세대
58,서울특별시 강서구 화곡동,56-644,0056,0644,경한빌라(56-644),전세,69.9700,202608,31,"12,800",0,-1,1991,초록마을로19길 35,202610~202810,신규,-,,,연립다세대
59,서울특별시 강서구 화곡동,960-3,0960,0003,진주빌라(960-3),월세,49.6700,202608,31,"14,300",5,3,1991,까치산로20가길 16,202609~202809,신규,-,,,연립다세대
60,서울특별시 강서구 화곡동,1033-41,1033,0041,화곡동다세대주택,월세,26.6800,202608,31,"7,500",5,1,2002,강서로33가길 45,202609~202809,신규,-,,,연립다세대
61,서울특별시 강서구 화곡동,1045-65,1045,0065,성호하이빌(1045-65),월세,52.8600,202608,31,"3,000",100,3,2007,강서로33길 72,202610~202810,신규,-,,,연립다세대
62,서울특별시 강서구 화곡동,784-1,0784,0001,타운빌(784-1),월세,21.0800,202608,31,600,51,3,1993,등촌로3길 23,202609~202809,신규,-,,,연립다세대
63,서울특별시 강서구 화곡동,1082-25,1082,0025,엘리시아,전세,34.8900,202608,31,"20,000",0,5,2013,화곡로20길 19,202609~202809,신규,-,,,연립다세대
64,서울특별시 강서구 화곡동,370-16,0370,0016,와이앤비(370-16),월세,35.6900,202608,31,"2,000",95,4,2015,가로공원로78길 37-12,202609~202809,신규,-,,,연립다세대
65,서울특별시 강서구 화곡동,857-8,0857,0008,보노하우스(857-8),전세,32.1400,202608,31,"18,900",0,4,2015,강서로10길 120,202611~202811,신규,-,,,연립다세대
66,서울특별시 강서구 화곡동,342-76,0342,0076,마마스빌,월세,29.7900,202608,31,"18,000",6,3,2017,강서로12길 8-19,202611~202811,신규,-,,,연립다세대
67,서울특별시 강서구 화곡동,986-24,0986,0024,다세대(986-24),월세,17.2100,202608,31,"10,500",20,2,2017,화곡로53가길 29-3,202609~202809,신규,-,,,연립다세대
68,서울특별시 강서구 화곡동,391-23,0391,0023,양지샤인빌,월세,39.2800,202608,31,"6,000",30,3,2019,곰달래로25길 14-8,202609~202808,신규,-,,,연립다세대
69,서울특별시 강서구 화곡동,359-42,0359,0042,LK드림빌,전세,28.4000,202608,31,"23,600",0,2,2021,월정로28가길 19-21,202610~202810,신규,-,,,연립다세대
70,서울특별시 강서구 화곡동,362-65,0362,0065,이엘하우스,전세,28.4200,202608,31,"24,150",0,6,2022,가로공원로78길 87,202610~202809,갱신,사용,"23,000",0,연립다세대
71,서울특별시 마포구 신수동,192-1,0192,0001,마포리안,전세,21.4600,202608,31,"22,000",0,3,2025,독막로32안길 25,202610~202810,신규,-,,,연립다세대
72,서울특별시 구로구 구로동,791-1,0791,0001,(791-1),월세,37.7700,202608,31,"4,000",40,3,1994,도림로12길 28,202609~202706,신규,-,,,연립다세대
73,서울특별시 관악구 봉천동,180-64,0180,0064,삼안로얄빌라,전세,59.3600,202608,31,"17,000",0,-1,1991,인헌12다길 9,202610~202710,갱신,-,"17,000",0,연립다세대
74,서울특별시 송파구 삼전동,66-12,0066,0012,라움캐슬66,월세,29.9800,202608,31,"30,000",10,3,2026,백제고분로28길 27-8,202610~202810,신규,-,,,연립다세대
75,서울특별시 강북구 미아동,139-90,0139,0090,스타맨숀,전세,42.3900,202608,31,"13,000",0,2,1994,도봉로18길 48,202609~202809,신규,-,,,연립다세대
76,서울특별시 도봉구 도봉동,601-18,0601,0018,새울센스빌,월세,54.0600,202608,31,"12,000",10,5,2002,도봉로 795-19,202609~202809,신규,-,,,연립다세대
77,서울특별시 도봉구 도봉동,596-31,0596,0031,대정이오스,월세,54.3100,202608,31,300,38,5,2022,도봉로167길 15,202609~202808,갱신,-,300,38,연립다세대
78,서울특별시 관악구 봉천동,180-109,0180,0109,뉴월드2차,월세,61.5900,202608,31,"21,000",56,4,2002,인헌길 110,202609~202809,갱신,사용,"21,000",50,연립다세대
79,서울특별시 관악구 봉천동,911-11,0911,0011,유성빌라,월세,42.1500,202608,31,"15,000",10,4,1993,양녕로1길 3,202609~202809,신규,-,,,연립다세대
80,서울특별시 관악구 봉천동,100-89,0100,0089,비쥬타운C,월세,28.4000,202608,31,"21,000",30,5,2016,행운5길 31-5,202608~202808,신규,-,,,연립다세대
81,서울특별시 광진구 군자동,504,0504,0000,대명이튼캐슬,월세,25.2400,202608,31,"25,500",12,5,2019,군자로10길 17,202609~202809,갱신,-,"27,300",0,연립다세대
82,서울특별시 중구 신당동,372-435,0372,0435,그린빌,월세,45.7200,202608,31,"23,800",24,3,2002,동호로7길 47-5,202611~202811,신규,-,,,연립다세대
83,서울특별시 중구 신당동,417-10,0417,0010,나인하우스,전세,31.4900,202608,31,"21,950",0,2,2013,동호로14길 42,202608~202808,갱신,사용,"20,950",0,연립다세대
84,서울특별시 강서구 화곡동,1012-2,1012,0002,션밸리,월세,29.4700,202608,31,"27,200",3,3,2024,강서로45다길 25,202609~202809,갱신,-,"26,800",0,연립다세대
85,서울특별시 강북구 번동,148-123,0148,0123,창헌주택,전세,40.6000,202608,31,"13,000",0,2,1994,오현로25나길 29,202610~202810,신규,-,,,연립다세대
86,서울특별시 강동구 성내동,561-9,0561,0009,(561-9),월세,18.4800,202608,31,"3,000",70,5,2013,성내로10길 9-14,202610~202810,신규,-,,,연립다세대
87,서울특별시 중구 황학동,955,0955,0000,소미골드라인(101동),월세,28.3900,202608,31,"2,000",120,9,2019,마장로18길 16-1,202609~202709,신규,-,,,연립다세대
88,서울특별시 구로구 구로동,113-5,0113,0005,대정이오스,월세,29.8000,202608,31,874,25,2,2023,구로중앙로28길 35-9,202609~202808,신규,-,,,연립다세대
89,서울특별시 강동구 성내동,147-19,0147,0019,베스트빌(147-19),전세,40.9800,202608,31,"28,000",0,3,2013,풍성로41길 76,202611~202811,신규,-,,,연립다세대
90,서울특별시 동작구 신대방동,364-4,0364,0004,아르떼빌(364-4),전세,38.5800,202608,31,"23,500",0,4,2015,여의대방로22바길 16-5,202609~202711,신규,-,,,연립다세대
91,서울특별시 강북구 우이동,154-1,0154,0001,상봉빌라,월세,51.9300,202608,31,"12,000",21,3,1992,삼양로173길 51-7,202611~202811,신규,-,,,연립다세대
92,서울특별시 중구 중림동,395-2,0395,0002,궁전빌라2차,전세,36.2700,202608,31,"9,500",0,-1,2003,중림로2길 26,202610~202810,신규,-,,,연립다세대
93,서울특별시 관악구 봉천동,457-115,0457,0115,심지(457-115),전세,25.7900,202608,31,"24,300",0,8,2018,은천로 128,202608~202808,신규,-,,,연립다세대
94,서울특별시 강북구 번동,148-268,0148,0268,우진주택,전세,25.3300,202608,31,"8,000",0,2,1991,오현로25길 98,202610~202810,신규,-,,,연립다세대
95,서울특별시 강남구 논현동,257-10,0257,0010,월드빌라(257-10),월세,59.3700,202608,31,"5,000",190,2,2002,선릉로121길 61,202609~202809,신규,-,,,연립다세대
96,서울특별시 중구 만리동1가,54-4,0054,0004,코엑스파크서울역,전세,30.0000,202608,31,"33,000",0,5,2022,만리재로37길 20-1,202610~202810,신규,-,,,연립다세대
97,서울특별시 마포구 염리동,9-87,0009,0087,골드하우스,전세,17.1000,202608,31,"15,000",0,2,2021,대흥로30길 36-36,202610~202810,신규,-,,,연립다세대
98,서울특별시 금천구 가산동,547-74,0547,0074,(547-74),월세,28.8600,202608,31,500,60,3,1995,가산디지털2로 127-113,202609~202709,신규,-,,,연립다세대
99,서울특별시 성북구 종암동,28-27,0028,0027,미래하이츠,월세,37.2300,202608,31,"1,198",35,5,2023,회기로3길 8,202609~202808,갱신,-,100,37,연립다세대
100,서울특별시 강서구 마곡동,5-1,0005,0001,갤럭시오피스텔마곡2,월세,27.5500,202608,31,"1,000",91,3,2017,양천로47길 104-5,202611~202711,신규,-,,,연립다세대
101,서울특별시 강서구 마곡동,5-1,0005,0001,갤럭시오피스텔마곡2,월세,27.5500,202608,31,"1,000",91,3,2017,양천로47길 104-5,202611~202711,신규,-,,,연립다세대
102,서울특별시 강북구 수유동,86-2,0086,0002,스마트명가,월세,30.1400,202608,31,"1,500",123,4,2022,도봉로73길 9,202608~202708,신규,-,,,연립다세대
103,서울특별시 강북구 수유동,313-6,0313,0006,홍원하이빌강북7,월세,24.0900,202608,31,"5,811",5,5,2021,삼양로119길 22,202609~202808,갱신,-,"2,346",24,연립다세대
104,서울특별시 송파구 오금동,115-5,0115,0005,우신파크빌(115-5),월세,39.3100,202608,31,"21,000",20,5,2010,마천로 189,202608~202808,신규,-,,,연립다세대
105,서울특별시 광진구 자양동,632-1,0632,0001,어반엘632,전세,21.2000,202608,31,"26,000",0,4,2026,자양로11길 45,202609~202808,신규,-,,,연립다세대
106,서울특별시 송파구 가락동,174-2,0174,0002,천광파인빌,월세,24.6600,202608,31,"15,000",54,4,2018,오금로44길 19,202609~202809,신규,-,,,연립다세대
107,서울특별시 송파구 오금동,140-6,0140,0006,아리엘빌,전세,55.3700,202608,31,"21,940",0,3,2014,동남로28길 12-4,202609~202809,갱신,-,"20,940",0,연립다세대
108,서울특별시 종로구 명륜2가,61,0061,0000,(61-0),전세,41.8200,202608,31,"12,000",0,2,2001,성균관로6길 45,202610~202810,신규,-,,,연립다세대
109,서울특별시 종로구 명륜2가,160-3,0160,0003,트리니엘,월세,48.9200,202608,31,"5,000",180,2,2022,창경궁로33길 11,202608~202712,신규,-,,,연립다세대
110,서울특별시 송파구 오금동,157-8,0157,0008,풍성애뜰안,월세,24.7100,202608,31,"16,000",20,3,2014,문정로 221,202610~202810,신규,-,,,연립다세대
111,서울특별시 광진구 능동,251-46,0251,0046,이에스에듀하임,전세,22.4700,202608,31,"31,300",0,3,2026,능동로32길 132,202610~202810,신규,-,,,연립다세대
112,서울특별시 광진구 능동,223-19,0223,0019,솔하우스,전세,23.5000,202608,31,"23,100",0,3,2018,능동로34길 11-17,202611~202811,신규,-,,,연립다세대
113,서울특별시 노원구 상계동,135-90,0135,0090,(135-90),월세,40.4400,202608,31,"12,000",30,1,1989,한글비석로24다길 81,202611~202811,신규,-,,,연립다세대
114,서울특별시 광진구 구의동,225-49,0225,0049,(225-49),월세,53.7700,202608,31,"1,000",48,1,2003,구의로 47-7,202609~202709,신규,-,,,연립다세대
115,서울특별시 마포구 합정동,395-9,0395,0009,람세스텔,월세,12.4300,202608,31,"3,000",50,3,2013,월드컵로5길 91-4,202608~202808,신규,-,,,연립다세대
116,서울특별시 성북구 정릉동,327-1,0327,0001,화성빌라7차,월세,29.3700,202608,31,"13,800",26,2,2020,솔샘로6다길 13,202609~202809,갱신,-,"13,800",20,연립다세대
117,서울특별시 강북구 번동,148-268,0148,0268,우진주택,전세,25.3300,202608,31,"8,000",0,1,1991,오현로25길 98,202610~202810,신규,-,,,연립다세대
118,서울특별시 강북구 번동,441-3,0441,0003,진숙빌라2차,전세,49.2200,202608,31,"18,700",0,3,1987,도봉로78길 75,202611~202811,갱신,사용,"18,200",0,연립다세대
119,서울특별시 성북구 정릉동,385-1,0385,0001,서울빌라트,전세,51.9200,202608,31,"20,000",0,2,2000,정릉로21길 51,202608~202808,신규,-,,,연립다세대
120,서울특별시 종로구 연건동,43-3,0043,0003,(43-3),월세,27.7700,202608,31,"4,200",42,3,2000,대학로5길 52-7,202608~202802,신규,-,,,연립다세대
121,서울특별시 구로구 고척동,250-132,0250,0132,수명그린빌,월세,29.9100,202608,31,"15,000",28,5,2020,고척로27마길 18-4,202610~202810,신규,-,,,연립다세대
122,서울특별시 광진구 구의동,596-11,0596,0011,힐카운티11,월세,26.5500,202608,31,"25,000",10,6,2017,구의강변로 31-14,202610~202810,신규,-,,,연립다세대
123,서울특별시 동대문구 용두동,122-38,0122,0038,신승아트빌,월세,16.6100,202608,31,"1,000",53,4,2013,천호대로 78-1,202609~202809,신규,-,,,연립다세대
124,서울특별시 서대문구 창천동,369,0369,0000,아트빌리지2,월세,19.0800,202608,31,"1,000",75,2,2012,연희로2길 55,202609~202709,신규,-,,,연립다세대
125,서울특별시 용산구 이태원동,96-58,0096,0058,태원빌라,전세,59.2800,202608,31,"28,000",0,1,1999,녹사평대로26길 83-2,202608~202708,갱신,-,"28,000",0,연립다세대
126,서울특별시 용산구 이태원동,129-12,0129,0012,이화빌라(129-12),전세,84.3900,202608,31,"45,000",0,3,1992,보광로55길 14,202611~202811,신규,-,,,연립다세대
127,서울특별시 동대문구 용두동,122-38,0122,0038,신승아트빌,월세,16.6100,202608,31,"1,000",52,4,2013,천호대로 78-1,202609~202809,신규,-,,,연립다세대
128,서울특별시 마포구 합정동,429-54,0429,0054,이에스에듀포레,전세,32.6500,202608,31,"39,000",0,5,2022,양화로3길 83,202609~202809,신규,-,,,연립다세대
129,서울특별시 양천구 신월동,239-5,0239,0005,에델팰리스(239-5),전세,43.5100,202608,31,"21,700",0,3,2016,곰달래로10길 33-14,202610~202810,신규,-,,,연립다세대
130,서울특별시 광진구 능동,241-33,0241,0033,(241-33),월세,22.8700,202608,31,"19,800",3,4,2015,능동로32길 88,202609~202809,갱신,-,"18,900",3,연립다세대
131,서울특별시 영등포구 대림동,684-7,0684,0007,트윈클빌,월세,24.4200,202608,31,"17,000",5,5,2023,대림로34사길 5,202610~202810,신규,-,,,연립다세대
132,서울특별시 영등포구 신길동,73-3,0073,0003,리버파크뷰여의도l,전세,26.3700,202608,31,"32,000",0,3,2026,영등포로86가길 15,202610~202810,신규,-,,,연립다세대
133,서울특별시 종로구 원서동,86-19,0086,0019,(86-19),월세,14.5600,202608,31,"5,000",40,2,1997,창덕궁4길 7,202609~202809,신규,-,,,연립다세대
134,서울특별시 금천구 독산동,331-70,0331,0070,덕산파크빌(331-70),월세,29.8200,202608,31,"14,000",32,3,2013,범안로17길 29-6,202610~202810,갱신,-,"14,000",29,연립다세대
135,서울특별시 강동구 성내동,543-14,0543,0014,엘리시아314,월세,25.5600,202608,31,"16,950",4,3,2011,성내로13길 12-7,202609~202809,갱신,-,"17,000",0,연립다세대
136,서울특별시 용산구 한남동,113-2,0113,0002,디케이밸리뷰한남,전세,26.7000,202608,31,"41,000",0,10,2021,독서당로 27,202609~202809,신규,-,,,연립다세대
137,서울특별시 서초구 방배동,531-9,0531,0009,덕성주택,월세,51.4400,202608,31,"6,000",70,1,1993,도구로1길 19,202609~202809,갱신,-,"5,000",70,연립다세대
138,서울특별시 서초구 방배동,816-13,0816,0013,르시엘6차(816-13),전세,29.8300,202608,31,"24,000",0,5,2011,서초대로19길 88-4,202610~202810,신규,-,,,연립다세대
139,서울특별시 서초구 방배동,889-1,0889,0001,유성빌라,월세,237.2200,202608,31,"103,000",80,4,1992,서초대로34가길 33,202608~202808,갱신,-,"103,000",40,연립다세대
140,서울특별시 금천구 독산동,964-42,0964,0042,홍시주택,월세,23.1000,202608,31,"7,600",23,5,2018,시흥대로150길 69,202612~202812,갱신,-,"7,600",21,연립다세대
141,서울특별시 금천구 독산동,890-9,0890,0009,우주빌,월세,40.2200,202608,31,"20,000",50,4,2021,문성로 34,202610~202810,신규,-,,,연립다세대
142,서울특별시 금천구 독산동,902-7,0902,0007,더블루스테이,월세,29.5400,202608,31,"2,050",21,2,2021,남부순환로130길 19,202609~202808,갱신,-,"4,321",8,연립다세대
143,서울특별시 마포구 합정동,439-1,0439,0001,삼환빌라맨션,전세,81.9200,202608,31,"40,000",0,1,1983,희우정로 46,202608~202808,신규,-,,,연립다세대
144,서울특별시 금천구 독산동,336-5,0336,0005,유원블리스101동102동,월세,22.9100,202608,31,"25,200",5,13,2021,두산로3길 7,202609~202809,갱신,-,"25,200",0,연립다세대
145,서울특별시 동대문구 용두동,39-764,0039,0764,베르트라움2,전세,17.3200,202608,31,"20,000",0,5,2026,천호대로33길 18,202610~202810,신규,-,,,연립다세대
146,서울특별시 동대문구 장안동,339-2,0339,0002,하우징365,월세,29.6600,202608,31,"2,605",43,4,2020,장한로26다길 65,202609~202808,신규,-,,,연립다세대
147,서울특별시 은평구 녹번동,28-34,0028,0034,이화빌라,월세,41.7300,202608,31,"2,000",66,1,1994,통일로 665-14,202610~202810,신규,-,,,연립다세대
148,서울특별시 은평구 녹번동,35-36,0035,0036,대신그린맨션(35-36),전세,76.0400,202608,31,"24,000",0,1,1998,통일로57길 16-1,202611~202811,신규,-,,,연립다세대
149,서울특별시 은평구 녹번동,137-27,0137,0027,목화트윈스(B동),전세,41.0600,202608,31,"16,000",0,1,2002,진흥로12길 24,202609~202809,신규,-,,,연립다세대
