동네,시군구,번지,건물명,위도,경도,전월세구분,전용면적(㎡),층,보증금(만원),월세금(만원),건축년도
역삼,서울특별시 강남구 역삼동,695-4,산마리노,37.49988,127.03856,월세,45.1400,1,"5,000",83,2002
역삼,서울특별시 강남구 역삼동,690-12,에벤에셀,37.49988,127.03856,월세,75.4600,4,"5,000",215,2003
노원,서울특별시 노원구 공릉동,121,태릉현대홈타운스위트2단지,37.6302152,127.0872902,전세,120.0610,2,"75,240",0,2004
노원,서울특별시 노원구 상계동,442-23,(442-23),37.66727,127.07242,월세,41.5800,1,"1,000",55,1986
노원,서울특별시 노원구 상계동,1048-4,대한빌,37.66727,127.07242,전세,61.3100,3,"13,000",0,2002
노원,서울특별시 노원구 상계동,1387-5,가토빌라,37.66727,127.07242,전세,61.2300,2,"12,000",0,1997
건대입구,서울특별시 광진구 자양동,57-97,랜드마크Ⅱ,37.5316905,127.0749477,전세,22.1200,5,"30,000",0,2022
건대입구,서울특별시 광진구 자양동,221-4,(221-4),37.5316905,127.0749477,전세,29.8200,2,"24,000",0,2018
합정,서울특별시 마포구 합정동,426-11,채운캐슬,37.5477846,126.9095636,전세,27.1200,3,"28,140",0,2018
사당,서울특별시 동작구 사당동,235-34,(235-34),37.48508,126.9704949,전세,54.5400,1,"19,000",0,1977
합정,서울특별시 마포구 합정동,439-7,MAIBAUMHapjeongB,37.5477846,126.9095636,월세,15.7400,5,"1,000",68,2013
합정,서울특별시 마포구 합정동,390-14,벨라비스타,37.5477846,126.9095636,월세,17.3140,4,"3,000",85,2012
합정,서울특별시 마포구 합정동,386-34,유진,37.5477846,126.9095636,월세,67.6800,4,"40,500",16,2010
건대입구,서울특별시 광진구 구의동,218-29,대성아트빌라,37.5444896,127.0874678,월세,40.8400,2,"18,000",40,1995
건대입구,서울특별시 광진구 자양동,669-12,하우젠포레(669-12),37.5316905,127.0749477,전세,31.2600,4,"29,500",0,2017
건대입구,서울특별시 광진구 자양동,768-6,진주타운2차,37.5316905,127.0749477,전세,66.5900,3,"27,800",0,1991
공덕,서울특별시 마포구 신공덕동,6-10,어반하우스,37.5447,126.95606,전세,29.7100,2,"33,000",0,2015
합정,서울특별시 마포구 합정동,457-20,동서빌라나동,37.5477846,126.9095636,전세,58.2000,2,"31,000",0,1992
건대입구,서울특별시 광진구 자양동,688-4,미성빌라,37.5316905,127.0749477,전세,60.3000,1,"25,000",0,1992
건대입구,서울특별시 광진구 구의동,21-37,온새미르,37.5444896,127.0874678,전세,41.5300,3,"31,800",0,2017
건대입구,서울특별시 광진구 구의동,207-9,힐알펜시아,37.5444896,127.0874678,월세,40.3000,3,"27,550",5,2020
건대입구,서울특별시 광진구 구의동,207-9,힐알펜시아,37.5444896,127.0874678,월세,20.6400,4,"2,000",75,2020
안암,서울특별시 성북구 안암동5가,103-25,대륜빌딩,37.5887938,127.0300906,월세,16.4100,6,"1,000",74,2019
신림,서울특별시 관악구 신림동,409-184,건영빌라(409-184),37.486897,126.928177,전세,39.1200,2,"16,000",0,1992
신림,서울특별시 관악구 신림동,409-184,건영빌라(409-184),37.486897,126.928177,전세,39.1200,2,"16,000",0,1992
신림,서울특별시 관악구 신림동,598-17,신흥빌라(598-17),37.486897,126.928177,월세,50.1600,2,"13,000",10,1989
신림,서울특별시 관악구 신림동,1503-2,(1503-2),37.486897,126.928177,월세,49.1800,3,"5,000",70,2002
신림,서울특별시 관악구 신림동,1665-3,쉐르빌,37.486897,126.928177,월세,15.6400,2,"1,000",55,2013
건대입구,서울특별시 광진구 구의동,638-3,더엘,37.5444896,127.0874678,월세,26.2300,3,"2,205",23,2023
홍대,서울특별시 마포구 서교동,464-57,아띠끄빌,37.5550711,126.9238244,월세,28.9500,4,"15,000",52,2014
신림,서울특별시 관악구 신림동,533-14,J헤븐빌,37.486897,126.928177,월세,24.1400,5,"2,000",50,2015
신림,서울특별시 관악구 신림동,87-1,어반팰리스(6~7동),37.486897,126.928177,전세,49.5100,3,"30,990",0,2018
신림,서울특별시 관악구 신림동,1439-2,펠릭스,37.486897,126.928177,전세,66.7600,7,"5,000",0,2019
성수,서울특별시 성동구 성수동1가,656-1041,뚝섬리치빌A동,37.5435,127.03742,전세,28.4000,3,"28,050",0,2017
성수,서울특별시 성동구 성수동1가,656-1041,뚝섬리치빌A동,37.5435,127.03742,월세,28.4000,3,"27,000",6,2017
성수,서울특별시 성동구 성수동1가,656-1041,뚝섬리치빌A동,37.5435,127.03742,월세,28.4000,3,"27,000",6,2017
성수,서울특별시 성동구 성수동1가,656-1041,뚝섬리치빌A동,37.5435,127.03742,월세,28.4000,3,"27,000",6,2017
홍대,서울특별시 마포구 서교동,475-39,(475-39),37.5550711,126.9238244,전세,15.4400,3,"9,900",0,2012
홍대,서울특별시 마포구 서교동,482-27,(482-27),37.5550711,126.9238244,전세,19.7600,3,"11,800",0,2002
홍대,서울특별시 마포구 서교동,482-27,(482-27),37.5550711,126.9238244,전세,19.7600,3,"12,000",0,2002
